source_file_name,source_row_number,street,from_street,to_street,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Pavement Moratorium.csv,81,Ne 20Th Ave,Glisan St,21St Ave,113,"499 NW 20th Ave, Portland, OR 97209","999 NE 20th Ave, Portland, OR 97232",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.692391,45.526337]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.644849,45.529805]}"
Pavement Moratorium.csv,82,Ne Irving St,12Th Ave,22Nd Ave,114,"1199 NE Irving St, Portland, OR 97232","2200 NW Irving St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.653557,45.527943]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.696501,45.527688]}"
Pavement Moratorium.csv,83,Ne Weidler St,10Th Ave,15Th Ave,115,"999 NE Weidler St, Portland, OR 97232","1499 NE Weidler St, Portland, OR 97232",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.655561,45.534348]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.650479,45.534318]}"
Pavement Moratorium.csv,84,Nw Naito Pky,Davis St,9Th Ave,116,"101 NW Naito Pkwy, Portland, OR 97210","1501 NW Naito Pkwy, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.670273,45.524603]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.679752,45.53284]}"
Pavement Moratorium.csv,85,Ne Sandy Blvd,27Th Ave,29Th Ave,117,"2703 NE Sandy Blvd, Portland, OR 97232","2899 NE Sandy Blvd, Portland, OR 97232",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.638488,45.528642]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63584,45.529665]}"
Pavement Moratorium.csv,86,Ne 16Th Ave/15Th Ave,Multnomah St,Halsey St,118,"","",-1,-1,,
Pavement Moratorium.csv,89,Ne Siskiyou St,Ne 64th Ave,Ne Sandy Blvd,121,"6399 NE Siskiyou St, Portland, OR 97213","6449 NE Siskiyou St, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.59737,45.545342]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.596611,45.545338]}"
Pavement Moratorium.csv,90,Sw 1st Ave,Sw Columbia St,Sw Jefferson St,122,"1398 SW 1st Ave, Portland, OR 97201","1298 SW 1st Ave, Portland, OR 97204",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.67613,45.51307]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.675791,45.513729]}"
Pavement Moratorium.csv,91,W Burnside St,King Ave,21st Ave,123,"2150 W Burnside St, Portland, OR 97210","2098 W Burnside St, Portland, OR 97209",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.695394,45.523272]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.69429,45.523215]}"
Pavement Moratorium.csv,92,NE Sandy Blvd,NE 47th Ave,NE 82nd Ave,124,"4699 NE Sandy Blvd, Portland, OR 97213","NE Sandy Blvd, Portland, OR",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.614972,45.538345]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.57867,45.552428]}"
